	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[1.9292669296264648, 2.0440516471862793]	[0.41921719919966405, 0.26487295357375257]	[0.3895646795468779, 0.27654104347377123]	1	1.9249809167141596	1.4729266600306228	0.9612652686209265
1	[1.668778419494629, 2.266164779663086]	[0.7366457970244, 0.06752931061343038]	[0.49265281186133947, 0.08550323469365417]	1	1.9249809167141596	1.4729266600306228	0.5774194252297667
2	[2.2251052856445312, 1.3068218231201172]	[0.023344987696396924, 0.9192114210869362]	[0.02860006782016242, 0.2820341240507275]	1	1.9249809167141596	1.4729266600306228	-0.5901477116077029
3	[1.4276854991912842, 1.6674691438674927]	[0.6735975261845508, 0.2581390031376851]	[0.2880878942402537, 0.1722998194231187]	1	1.9249809167141596	1.4729266600306228	0.06343362243709982
4	[1.8322910070419312, 2.1996517181396484]	[0.5742721677711307, 0.13211339402086003]	[0.47796156083038716, 0.15849006012638509]	1	1.9249809167141596	1.4729266600306228	0.8318434870506296
5	[1.419434666633606, 2.1605186462402344]	[0.8698327262707014, 0.04487877680631461]	[0.3648379995703523, 0.05208265730418186]	1	1.9249809167141596	1.4729266600306228	-0.12627314788124744
6	[1.5375266075134277, 2.279404640197754]	[0.8273454159711376, 0.04255128909516046]	[0.4447201746887513, 0.05444031671474438]	1	1.9249809167141596	1.4729266600306228	0.2326527733237704
7	[1.2424812316894531, 1.235781192779541]	[0.48181752656676996, 0.4949048997653562]	[0.11683170729147618, 0.11668926757911487]	1	1.9249809167141596	1.4729266600306228	-0.9266991237967399
8	[1.2553215026855469, 1.6592354774475098]	[0.8002442620605922, 0.15905675840038763]	[0.20431956750479696, 0.10485585806533275]	1	1.9249809167141596	1.4729266600306228	-0.5965143226462842
9	[2.194171190261841, 1.7533944845199585]	[0.1110521815447466, 0.6474923752458794]	[0.13261531581646407, 0.48781718427897286]	1	1.9249809167141596	1.4729266600306228	0.7619299500769567
10	[1.7458518743515015, 1.2282828092575073]	[0.10765608642021303, 0.8533911680427241]	[0.08029549384186312, 0.19481453323633857]	1	1.9249809167141596	1.4729266600306228	-0.7451886798475437
