	prices_history	monopoly_history	nash_history	rewards_history	metric_history
0	[2.160856008529663, 1.7710964679718018]	1.9249809213956623	1.4729266600306228	[0.15160256739552083, 0.47876080364472234]	0.8052720484973698
1	[1.5294597148895264, 1.8631443977355957]	1.9249809213956623	1.4729266600306228	[0.37404757392103666, 0.16051207573467993]	0.38714816546960673
2	[1.2179255485534668, 2.2768988609313965]	1.9249809213956623	1.4729266600306228	[0.20592833689453888, 0.017455785621074936]	-0.970940203444683
3	[1.3552227020263672, 1.8883140087127686]	1.9249809213956623	1.4729266600306228	[0.29740729415866485, 0.08817449112105229]	-0.26304790455630206
4	[1.318904161453247, 2.1145148277282715]	1.9249809213956623	1.4729266600306228	[0.2880612079023018, 0.04176314089206319]	-0.5063945670242042
5	[1.6642736196517944, 1.3553186655044556]	1.9249809213956623	1.4729266600306228	[0.14126614860272657, 0.2600272414215002]	-0.19447648489292338
6	[2.1916921138763428, 1.9528931379318237]	1.9249809213956623	1.4729266600306228	[0.20717953769077088, 0.4305893697304155]	0.8375926262656929
7	[1.204066276550293, 2.0260796546936035]	1.9249809213956623	1.4729266600306228	[0.1891679636998895, 0.0355037255978729]	-0.9653207722281366
8	[2.061492919921875, 1.9617531299591064]	1.9249809213956623	1.4729266600306228	[0.2816276433244094, 0.3802660462117907]	0.9428823522737421
9	[1.8880892992019653, 1.3749452829360962]	1.9249809213956623	1.4729266600306228	[0.09420628634113155, 0.30975162958215263]	-0.182847480306867
10	[1.5409042835235596, 1.536889910697937]	1.9249809213956623	1.4729266600306228	[0.24862532042036728, 0.25077477978408735]	0.23369851727626756
11	[1.7441790103912354, 1.5222105979919434]	1.9249809213956623	1.4729266600306228	[0.19638594981647683, 0.33487081950489933]	0.3727331393034779
12	[1.1955628395080566, 1.5094505548477173]	1.9249809213956623	1.4729266600306228	[0.14759860976460573, 0.10955171006991175]	-0.8235716739760363
13	[1.7287157773971558, 1.9207534790039062]	1.9249809213956623	1.4729266600306228	[0.4044543628119505, 0.2370560611014689]	0.8539220274782593
14	[1.45533287525177, 1.2816082239151]	1.9249809213956623	1.4729266600306228	[0.14609463791675195, 0.18102611536548927]	-0.5181940862634242
15	[1.4932684898376465, 2.214130401611328]	1.9249809213956623	1.4729266600306228	[0.41532053901049654, 0.057187349361351426]	0.11633067527435212
16	[1.3815637826919556, 1.8487155437469482]	1.9249809213956623	1.4729266600306228	[0.3080587497528908, 0.10575546785907818]	-0.13983083048566686
17	[2.1995689868927, 1.5059690475463867]	1.9249809213956623	1.4729266600306228	[0.06231297341996681, 0.4212924741738425]	0.16476464513438396
18	[2.2459185123443604, 2.1092171669006348]	1.9249809213956623	1.4729266600306228	[0.23064072500641802, 0.3547623296076872]	0.6090481250988162
19	[1.2957974672317505, 1.2724207639694214]	1.9249809213956623	1.4729266600306228	[0.13708197435315259, 0.1386230976342926]	-0.7425916775136763
20	[1.2687474489212036, 1.9237300157546997]	1.9249809213956623	1.4729266600306228	[0.23857444203665448, 0.059703991139771456]	-0.644072942573916
21	[2.1054165363311768, 1.9329068660736084]	1.9249809213956623	1.4729266600306228	[0.24465362220996253, 0.41166502779612124]	0.9185507590675721
22	[1.2792848348617554, 1.2062902450561523]	1.9249809213956623	1.4729266600306228	[0.1166092631796729, 0.11533708713359592]	-0.933571384338435
23	[1.7234079837799072, 2.2301695346832275]	1.9249809213956623	1.4729266600306228	[0.4946439893239124, 0.11079991450870125]	0.6965140144538201
24	[1.4624757766723633, 2.181180238723755]	1.9249809213956623	1.4729266600306228	[0.3943013532336594, 0.05682480077212899]	0.02301265307434021
25	[1.3923826217651367, 2.212768793106079]	1.9249809213956623	1.4729266600306228	[0.3486092608780094, 0.040480924246458175]	-0.24773591306890272
26	[1.356260061264038, 1.4964109659194946]	1.9249809213956623	1.4729266600306228	[0.2163056842299354, 0.17205809200799335]	-0.250906237769406
27	[1.6043002605438232, 2.1174161434173584]	1.9249809213956623	1.4729266600306228	[0.4530606641337159, 0.10758331720461005]	0.5009901111863234
28	[1.6176915168762207, 1.8597534894943237]	1.9249809213956623	1.4729266600306228	[0.386915806026012, 0.2045097726238219]	0.6353327109067076
29	[1.3058946132659912, 1.2002182006835938]	1.9249809213956623	1.4729266600306228	[0.11818150318597893, 0.11804836216317141]	-0.9148764953098355
30	[1.3705604076385498, 2.2052388191223145]	1.9249809213956623	1.4729266600306228	[0.3320068608310166, 0.03831565384818277]	-0.32964516595131055
31	[2.0332794189453125, 1.3927894830703735]	1.9249809213956623	1.4729266600306228	[0.06841289227479129, 0.33707380440662915]	-0.17617529954340336
32	[1.621495008468628, 2.230236768722534]	1.9249809213956623	1.4729266600306228	[0.4752855904337319, 0.08241627014243204]	0.48814957702299777
33	[2.098129987716675, 1.2796655893325806]	1.9249809213956623	1.4729266600306228	[0.03800580821983968, 0.25565455893721356]	-0.664227939354767
34	[1.4421839714050293, 1.1934714317321777]	1.9249809213956623	1.4729266600306228	[0.11600666800869344, 0.13726339517679442]	-0.8405065900084171
35	[2.252455234527588, 1.2903964519500732]	1.9249809213956623	1.4729266600306228	[0.02472505360427591, 0.26892651113865773]	-0.664266356438347
36	[1.4198942184448242, 2.2823095321655273]	1.9249809213956623	1.4729266600306228	[0.371591617138097, 0.036037116720919075]	-0.16682663448798957
37	[1.976199984550476, 2.125889301300049]	1.9249809213956623	1.4729266600306228	[0.39704148419270335, 0.2516261683583359]	0.8851588958006049
38	[2.156689405441284, 1.958141565322876]	1.9249809213956623	1.4729266600306228	[0.2275074048577341, 0.41698591447341654]	0.8669405177488151
