	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[1.688292384147644, 1.3902428150177002]	[0, 1.6097571849822998]	[0.0, 0.6281961753624614]	1	2.0	1	0.3140980876812307
1	[1.9352788925170898, 1.992948293685913]	[1.0647211074829102, 0]	[0.9958111782461856, 0.0]	1	2.0	1	0.4979055891230928
2	[1.6659820079803467, 1.256800651550293]	[0, 1.743199348449707]	[0.0, 0.44765472846393095]	1	2.0	1	0.22382736423196548
3	[1.8683128356933594, 1.6466412544250488]	[0, 1.3533587455749512]	[0.0, 0.8751375969256969]	1	2.0	1	0.43756879846284846
4	[1.0135281085968018, 1.7906084060668945]	[1.9864718914031982, 0]	[0.026873207471396654, 0.0]	1	2.0	1	0.013436603735698327
5	[1.2545876502990723, 2.110912561416626]	[1.7454123497009277, 0]	[0.4443604289133418, 0.0]	1	2.0	1	0.2221802144566709
6	[1.7764207124710083, 2.1880104541778564]	[1.2235792875289917, 0]	[0.9500123021880285, 0.0]	1	2.0	1	0.47500615109401423
7	[2.3155791759490967, 1.57517671585083]	[0, 1.42482328414917]	[0.0, 0.8195251772447136]	1	2.0	1	0.4097625886223568
8	[1.399655818939209, 2.0553536415100098]	[1.600344181060791, 0]	[0.6395868642664482, 0.0]	1	2.0	1	0.3197934321332241
9	[2.2965610027313232, 1.8920865058898926]	[0, 1.1079134941101074]	[0.0, 0.9883546777889478]	1	2.0	1	0.4941773388944739
10	[2.332287549972534, 1.5732054710388184]	[0, 1.4267945289611816]	[0.0, 0.8178464300488031]	1	2.0	1	0.40892321502440154
11	[1.6799967288970947, 1.4465782642364502]	[0, 1.5534217357635498]	[0.0, 0.6937243823844597]	1	2.0	1	0.34686219119222983
12	[1.703680396080017, 1.7032334804534912]	[0, 1.2967665195465088]	[0.0, 0.9119296328762516]	1	2.0	1	0.4559648164381258
13	[1.022461175918579, 1.8969907760620117]	[1.977538824081421, 0]	[0.044417847413512845, 0.0]	1	2.0	1	0.022208923706756423
14	[1.3754639625549316, 1.5928082466125488]	[1.6245360374450684, 0]	[0.6099547379324122, 0.0]	1	2.0	1	0.3049773689662061
15	[1.6372913122177124, 1.0590254068374634]	[0, 1.9409745931625366]	[0.0, 0.11456681502259869]	1	2.0	1	0.057283407511299345
16	[1.9604206085205078, 2.087850570678711]	[1.0395793914794922, 0]	[0.9984334717701131, 0.0]	1	2.0	1	0.49921673588505655
17	[2.335411310195923, 1.435680866241455]	[0, 1.564319133758545]	[0.0, 0.6815439152740055]	1	2.0	1	0.34077195763700274
