costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1;actions_2;prices_2;quantities_2;rewards_2;actions_3;prices_3;quantities_3;rewards_3;actions_4;prices_4;quantities_4;rewards_4
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.1645113080739975;1.329022616147995;0.0;0.0;-0.8187131881713867;1.0;2.0;0.0;0.6403465270996094;2.2806930541992188;0.0;0.0;-0.9082939624786377;1.0;2.0;0.0;0.40224123001098633;1.8044824600219727;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.0495980866253376;1.0;2.0;0.0;-0.08835315704345703;1.0;2.0;0.0;0.23164191842079163;1.4632838368415833;0.0;0.0;0.7323015332221985;2.464603066444397;0.0;0.0;-0.8061485886573792;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6097910404205322;1.0;2.0;0.0;-0.6555231213569641;1.0;2.0;0.0;-0.24648913741111755;1.0;2.0;0.0;-0.8029215335845947;1.0;2.0;0.0;-0.6248099207878113;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.4793199300765991;1.0;2.0;0.0;0.6305191516876221;2.261038303375244;0.0;0.0;0.782425045967102;2.564850091934204;0.0;0.0;0.45180627703666687;1.9036125540733337;0.0;0.0;-0.14254669845104218;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6449746489524841;2.2899492979049683;0.0;0.0;0.41387712955474854;1.827754259109497;0.0;0.0;0.6133819818496704;2.226763963699341;0.0;0.0;-0.3765529692173004;1.0;2.0;0.0;0.4941776990890503;1.9883553981781006;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.11787452548742294;1.0;2.0;0.0;0.8015121817588806;2.6030243635177612;0.0;0.0;0.11513224989175797;1.230264499783516;0.0;0.0;0.8228766918182373;2.6457533836364746;0.0;0.0;-0.3006921410560608;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.39701375365257263;1.0;2.0;0.0;-0.8877409100532532;1.0;2.0;0.0;-0.08029434084892273;1.0;2.0;0.0;0.6907331943511963;2.3814663887023926;0.0;0.0;-0.47992944717407227;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.3897073268890381;1.7794146537780762;0.0;0.0;-0.10157815366983414;1.0;2.0;0.0;-0.27621641755104065;1.0;2.0;0.0;-0.7549266815185547;1.0;2.0;0.0;-0.7544589042663574;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7406920790672302;2.4813841581344604;0.0;0.0;-0.8759973049163818;1.0;2.0;0.0;0.5243818163871765;2.048763632774353;0.0;0.0;-0.8699609041213989;1.0;2.0;0.0;0.025982195511460304;1.0519643910229206;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.15080495178699493;1.0;2.0;0.0;0.2455686628818512;1.4911373257637024;0.0;0.0;0.6497345566749573;2.2994691133499146;0.0;0.0;-0.4707432687282562;1.0;2.0;0.0;0.3734471797943115;1.746894359588623;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.12360413372516632;1.2472082674503326;0.0;0.0;0.4485071897506714;1.8970143795013428;0.0;0.0;-0.593463659286499;1.0;2.0;0.0;0.6951545476913452;2.3903090953826904;0.0;0.0;0.7394412755966187;2.4788825511932373;0.0;0.0
