costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1;actions_2;prices_2;quantities_2;rewards_2;actions_3;prices_3;quantities_3;rewards_3;actions_4;prices_4;quantities_4;rewards_4
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6006762385368347;2.2013524770736694;0.0;0.0;-0.16898596286773682;1.0;2.0;0.0;-0.21404041349887848;1.0;2.0;0.0;-0.8970531225204468;1.0;2.0;0.0;0.8957981467247009;2.791596293449402;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7913625240325928;2.5827250480651855;0.0;0.0;0.9413773417472839;2.882754683494568;0.0;0.0;-0.6963277459144592;1.0;2.0;0.0;0.9143598079681396;2.8287196159362793;0.0;0.0;-0.3762792646884918;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8149344325065613;2.6298688650131226;0.0;0.0;0.6419687271118164;2.283937454223633;0.0;0.0;-0.7030677199363708;1.0;2.0;0.0;0.7647693157196045;2.529538631439209;0.0;0.0;-0.9481104612350464;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5701860785484314;2.140372157096863;0.0;0.0;0.5326354503631592;2.0652709007263184;0.0;0.0;0.8275531530380249;2.65510630607605;0.0;0.0;-0.7018526792526245;1.0;2.0;0.0;0.5402887463569641;2.0805774927139282;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.42511290311813354;1.850225806236267;0.0;0.0;0.04158668965101242;1.0831733793020248;0.0;0.0;-0.9605005383491516;1.0;2.0;0.0;-0.4811193645000458;1.0;2.0;0.0;-0.6723300814628601;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7061322927474976;1.0;2.0;0.0;-0.7796732783317566;1.0;2.0;0.0;0.6098629236221313;2.2197258472442627;0.0;0.0;0.6392098069190979;2.278419613838196;0.0;0.0;-0.40795671939849854;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.10769989341497421;1.2153997868299484;0.0;0.0;0.8791676759719849;2.7583353519439697;0.0;0.0;0.90852952003479;2.81705904006958;0.0;0.0;-0.08952224254608154;1.0;2.0;0.0;-0.8822075128555298;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.22974637150764465;1.4594927430152893;0.0;0.0;0.8186941742897034;2.6373883485794067;0.0;0.0;0.10098858177661896;1.201977163553238;0.0;0.0;0.7472243309020996;2.494448661804199;0.0;0.0;-0.33963996171951294;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8133914470672607;1.0;2.0;0.0;-0.7747173309326172;1.0;2.0;0.0;0.8376291394233704;2.6752582788467407;0.0;0.0;0.7459002733230591;2.491800546646118;0.0;0.0;0.8834652900695801;2.76693058013916;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8193841576576233;1.0;2.0;0.0;-0.6109578609466553;1.0;2.0;0.0;0.889419674873352;2.778839349746704;0.0;0.0;0.46403026580810547;1.928060531616211;0.0;0.0;0.4426237642765045;1.885247528553009;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7662425637245178;1.0;2.0;0.0;-0.24920545518398285;1.0;2.0;0.0;-0.10901474952697754;1.0;2.0;0.0;0.24959033727645874;1.4991806745529175;0.0;0.0;-0.6051428914070129;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.03370722755789757;1.0;2.0;0.0;-0.15559470653533936;1.0;2.0;0.0;0.8783096075057983;2.7566192150115967;0.0;0.0;0.14205241203308105;1.284104824066162;0.0;0.0;0.8166319727897644;2.633263945579529;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5437856316566467;2.0875712633132935;0.0;0.0;-0.8409551978111267;1.0;2.0;0.0;-0.7194796204566956;1.0;2.0;0.0;0.13448907434940338;1.2689781486988068;0.0;0.0;-0.6133232712745667;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8189810514450073;2.6379621028900146;0.0;0.0;-0.7268373370170593;1.0;2.0;0.0;-0.12216908484697342;1.0;2.0;0.0;-0.915944516658783;1.0;2.0;0.0;0.20096781849861145;1.401935636997223;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.615965723991394;2.231931447982788;0.0;0.0;-0.08296998590230942;1.0;2.0;0.0;0.46258172392845154;1.925163447856903;0.0;0.0;-0.9769784808158875;1.0;2.0;0.0;0.27270743250846863;1.5454148650169373;0.0;0.0
1.0;0.0;1.0;0.9459682682601027;1.0;2.0;3.0;0.6162236332893372;2.2324472665786743;0.7675527334213257;0.9459682682601027;0.7370639443397522;2.4741278886795044;0.0;0.0;0.9886917471885681;2.9773834943771362;0.0;0.0;0.8576951026916504;2.715390205383301;0.0;0.0;0.9239375591278076;2.8478751182556152;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.016598258167505264;1.0;2.0;0.0;0.3082144558429718;1.6164289116859436;0.0;0.0;0.3531675338745117;1.7063350677490234;0.0;0.0;0.46778032183647156;1.9355606436729431;0.0;0.0;0.48963111639022827;1.9792622327804565;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.44207295775413513;1.0;2.0;0.0;-0.30764180421829224;1.0;2.0;0.0;-0.4244595766067505;1.0;2.0;0.0;0.7308104038238525;2.461620807647705;0.0;0.0;-0.10596763342618942;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.25135698914527893;1.0;2.0;0.0;-0.45028311014175415;1.0;2.0;0.0;-0.6192744374275208;1.0;2.0;0.0;-0.060756076127290726;1.0;2.0;0.0;0.6432401537895203;2.2864803075790405;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.881280243396759;1.0;2.0;0.0;-0.9296367764472961;1.0;2.0;0.0;-0.030516061931848526;1.0;2.0;0.0;-0.8563870787620544;1.0;2.0;0.0;-0.3267408311367035;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6202885508537292;2.2405771017074585;0.0;0.0;-0.28367745876312256;1.0;2.0;0.0;0.04700464755296707;1.0940092951059341;0.0;0.0;0.9342769980430603;2.8685539960861206;0.0;0.0;0.6681307554244995;2.336261510848999;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8059332370758057;2.6118664741516113;0.0;0.0;0.5315275192260742;2.0630550384521484;0.0;0.0;0.631432294845581;2.262864589691162;0.0;0.0;0.018597198650240898;1.0371943973004818;0.0;0.0;-0.5773941278457642;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9371909499168396;2.874381899833679;0.0;0.0;0.8683552742004395;2.736710548400879;0.0;0.0;0.17707887291908264;1.3541577458381653;0.0;0.0;-0.20215535163879395;1.0;2.0;0.0;-0.36350175738334656;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9807425737380981;1.0;2.0;0.0;0.8560400605201721;2.7120801210403442;0.0;0.0;-0.7397183179855347;1.0;2.0;0.0;-0.4451514482498169;1.0;2.0;0.0;0.10285404324531555;1.205708086490631;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9053991436958313;1.0;2.0;0.0;-0.9925745725631714;1.0;2.0;0.0;-0.5253272652626038;1.0;2.0;0.0;0.6335710287094116;2.2671420574188232;0.0;0.0;-0.2902034819126129;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.24815745651721954;1.0;2.0;0.0;0.5780760645866394;2.156152129173279;0.0;0.0;-0.8488826751708984;1.0;2.0;0.0;0.6527907848358154;2.305581569671631;0.0;0.0;0.9553369879722595;2.910673975944519;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.5430556535720825;2.086111307144165;0.0;0.0;0.3622649013996124;1.7245298027992249;0.0;0.0;-0.09805437177419662;1.0;2.0;0.0;0.14469583332538605;1.289391666650772;0.0;0.0;-0.3988594114780426;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6929173469543457;2.3858346939086914;0.0;0.0;-0.024228017777204514;1.0;2.0;0.0;-0.12834295630455017;1.0;2.0;0.0;-0.9157248139381409;1.0;2.0;0.0;0.8374638557434082;2.6749277114868164;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6568308472633362;2.3136616945266724;0.0;0.0;0.9404264092445374;2.8808528184890747;0.0;0.0;-0.610633134841919;1.0;2.0;0.0;0.44467830657958984;1.8893566131591797;0.0;0.0;-0.20385940372943878;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.37975648045539856;1.7595129609107971;0.0;0.0;0.46997013688087463;1.9399402737617493;0.0;0.0;-0.8933150172233582;1.0;2.0;0.0;-0.4798714518547058;1.0;2.0;0.0;0.8120934367179871;2.624186873435974;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.12523837387561798;1.250476747751236;0.0;0.0;0.8793156147003174;2.7586312294006348;0.0;0.0;-0.938002347946167;1.0;2.0;0.0;-0.3880605399608612;1.0;2.0;0.0;0.7489405870437622;2.4978811740875244;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.49677687883377075;1.0;2.0;0.0;-0.23653946816921234;1.0;2.0;0.0;-0.8484145402908325;1.0;2.0;0.0;-0.4951605200767517;1.0;2.0;0.0;-0.6592096090316772;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.005687049590051174;1.0;2.0;0.0;-0.780709445476532;1.0;2.0;0.0;-0.07651027292013168;1.0;2.0;0.0;0.37263646721839905;1.745272934436798;0.0;0.0;0.9672315716743469;2.934463143348694;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9471468329429626;2.8942936658859253;0.0;0.0;0.1794453114271164;1.3588906228542328;0.0;0.0;-0.43702617287635803;1.0;2.0;0.0;-0.6199163198471069;1.0;2.0;0.0;0.9574253559112549;2.9148507118225098;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.3710969388484955;1.0;2.0;0.0;0.9199682474136353;2.8399364948272705;0.0;0.0;-0.981431245803833;1.0;2.0;0.0;0.7785609364509583;2.5571218729019165;0.0;0.0;-0.5046311020851135;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9661045670509338;1.0;2.0;0.0;0.8963795304298401;2.79275906085968;0.0;0.0;-0.434142529964447;1.0;2.0;0.0;-0.855622410774231;1.0;2.0;0.0;0.24793477356433868;1.4958695471286774;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8582934737205505;1.0;2.0;0.0;-0.20185545086860657;1.0;2.0;0.0;0.6803625822067261;2.360725164413452;0.0;0.0;-0.320475310087204;1.0;2.0;0.0;0.10508570075035095;1.210171401500702;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9199762940406799;1.0;2.0;0.0;-0.7026223540306091;1.0;2.0;0.0;-0.33078619837760925;1.0;2.0;0.0;-0.8192610144615173;1.0;2.0;0.0;-0.5678308606147766;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.12483876198530197;1.0;2.0;0.0;0.5584235787391663;2.1168471574783325;0.0;0.0;0.5349829792976379;2.069965958595276;0.0;0.0;-0.37205666303634644;1.0;2.0;0.0;0.8385682106018066;2.6771364212036133;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.8420298099517822;2.6840596199035645;0.0;0.0;0.8937771916389465;2.787554383277893;0.0;0.0;-0.8471511006355286;1.0;2.0;0.0;-0.9340425729751587;1.0;2.0;0.0;-0.260412335395813;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.3087327778339386;1.6174655556678772;0.0;0.0;-0.01316885743290186;1.0;2.0;0.0;-0.9559205174446106;1.0;2.0;0.0;-0.18268129229545593;1.0;2.0;0.0;0.8384601473808289;2.6769202947616577;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.051291536539793015;1.102583073079586;0.0;0.0;0.3433533310890198;1.6867066621780396;0.0;0.0;0.666920006275177;2.333840012550354;0.0;0.0;-0.9483510851860046;1.0;2.0;0.0;-0.7110122442245483;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6970122456550598;2.3940244913101196;0.0;0.0;-0.5320473313331604;1.0;2.0;0.0;0.05957555025815964;1.1191511005163193;0.0;0.0;0.9571598172187805;2.914319634437561;0.0;0.0;-0.6665582060813904;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6675446629524231;1.0;2.0;0.0;-0.975451648235321;1.0;2.0;0.0;-0.9107159972190857;1.0;2.0;0.0;0.026765525341033936;1.0535310506820679;0.0;0.0;0.8040838837623596;2.6081677675247192;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6535161137580872;2.3070322275161743;0.0;0.0;-0.813586413860321;1.0;2.0;0.0;0.10560278594493866;1.2112055718898773;0.0;0.0;-0.992651641368866;1.0;2.0;0.0;-0.26467639207839966;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9753575325012207;2.9507150650024414;0.0;0.0;0.5867141485214233;2.1734282970428467;0.0;0.0;-0.49128133058547974;1.0;2.0;0.0;0.3808237910270691;1.7616475820541382;0.0;0.0;-0.8593520522117615;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8638162016868591;1.0;2.0;0.0;-0.5097277760505676;1.0;2.0;0.0;0.9478890299797058;2.8957780599594116;0.0;0.0;-0.8690522909164429;1.0;2.0;0.0;-0.850703775882721;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7779024243354797;1.0;2.0;0.0;0.6310396194458008;2.2620792388916016;0.0;0.0;-0.784351646900177;1.0;2.0;0.0;-0.5823174715042114;1.0;2.0;0.0;-0.684212863445282;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.564578652381897;1.0;2.0;0.0;-0.22584936022758484;1.0;2.0;0.0;-0.9216177463531494;1.0;2.0;0.0;-0.2571695148944855;1.0;2.0;0.0;0.5680107474327087;2.1360214948654175;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.6994085311889648;2.3988170623779297;0.0;0.0;-0.733432412147522;1.0;2.0;0.0;0.9877859950065613;2.9755719900131226;0.0;0.0;0.16372433304786682;1.3274486660957336;0.0;0.0;0.32725611329078674;1.6545122265815735;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.36999285221099854;1.739985704421997;0.0;0.0;-0.7801439166069031;1.0;2.0;0.0;-0.7193934917449951;1.0;2.0;0.0;0.6693317294120789;2.3386634588241577;0.0;0.0;0.823876678943634;2.647753357887268;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.18383832275867462;1.3676766455173492;0.0;0.0;0.2626352906227112;1.5252705812454224;0.0;0.0;-0.23686636984348297;1.0;2.0;0.0;-0.08681279420852661;1.0;2.0;0.0;-0.3315381109714508;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.141801118850708;1.283602237701416;0.0;0.0;0.04581126570701599;1.091622531414032;0.0;0.0;-0.8821002244949341;1.0;2.0;0.0;-0.3065774142742157;1.0;2.0;0.0;0.6628153920173645;2.325630784034729;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.9850366711616516;2.9700733423233032;0.0;0.0;0.8371326327323914;2.6742652654647827;0.0;0.0;-0.14573869109153748;1.0;2.0;0.0;-0.4603005647659302;1.0;2.0;0.0;0.3558233380317688;1.7116466760635376;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9037461876869202;1.0;2.0;0.0;-0.5381113290786743;1.0;2.0;0.0;0.9868549704551697;2.9737099409103394;0.0;0.0;-0.18350549042224884;1.0;2.0;0.0;0.031377002596855164;1.0627540051937103;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.29458776116371155;1.589175522327423;0.0;0.0;-0.3706038296222687;1.0;2.0;0.0;0.5065928101539612;2.0131856203079224;0.0;0.0;0.58917635679245;2.1783527135849;0.0;0.0;0.8012067675590515;2.602413535118103;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.34945473074913025;1.0;2.0;0.0;-0.19242367148399353;1.0;2.0;0.0;0.757236659526825;2.51447331905365;0.0;0.0;0.8699371814727783;2.7398743629455566;0.0;0.0;-0.7273986339569092;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.03306254744529724;1.0661250948905945;0.0;0.0;0.6771095991134644;2.3542191982269287;0.0;0.0;-0.09279046952724457;1.0;2.0;0.0;0.26222649216651917;1.5244529843330383;0.0;0.0;0.8664067983627319;2.732813596725464;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.41226017475128174;1.0;2.0;0.0;-0.7410262823104858;1.0;2.0;0.0;0.8427380919456482;2.6854761838912964;0.0;0.0;0.8173335194587708;2.6346670389175415;0.0;0.0;-0.17534005641937256;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.43657588958740234;1.0;2.0;0.0;-0.8975340723991394;1.0;2.0;0.0;-0.7518800497055054;1.0;2.0;0.0;0.7892575860023499;2.5785151720046997;0.0;0.0;0.9165347814559937;2.8330695629119873;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5980429649353027;1.0;2.0;0.0;0.3178914785385132;1.6357829570770264;0.0;0.0;0.29620471596717834;1.5924094319343567;0.0;0.0;0.9679259657859802;2.9358519315719604;0.0;0.0;-0.9953776001930237;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8757931590080261;1.0;2.0;0.0;0.3584575057029724;1.7169150114059448;0.0;0.0;0.5828366279602051;2.16567325592041;0.0;0.0;-0.9013081789016724;1.0;2.0;0.0;0.17112965881824493;1.3422593176364899;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.09388396143913269;1.0;2.0;0.0;0.9902337193489075;2.980467438697815;0.0;0.0;0.874247670173645;2.74849534034729;0.0;0.0;0.7430775165557861;2.4861550331115723;0.0;0.0;0.880359411239624;2.760718822479248;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.15497830510139465;1.3099566102027893;0.0;0.0;0.9347501397132874;2.8695002794265747;0.0;0.0;0.43293312191963196;1.865866243839264;0.0;0.0;-0.5328906178474426;1.0;2.0;0.0;0.6561338901519775;2.312267780303955;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5947229266166687;1.0;2.0;0.0;-0.6850279569625854;1.0;2.0;0.0;0.645702600479126;2.291405200958252;0.0;0.0;-0.976967990398407;1.0;2.0;0.0;-0.45983895659446716;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.9330752491950989;1.0;2.0;0.0;0.9709800481796265;2.941960096359253;0.0;0.0;-0.7832536697387695;1.0;2.0;0.0;-0.9058309197425842;1.0;2.0;0.0;-0.9320612549781799;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.22968876361846924;1.4593775272369385;0.0;0.0;-0.23916196823120117;1.0;2.0;0.0;0.7678503394126892;2.5357006788253784;0.0;0.0;-0.25552141666412354;1.0;2.0;0.0;0.4977419972419739;1.9954839944839478;0.0;0.0
