costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1
1.0;0.0;1.0;0.9959130573653141;1.0;2.0;3.0;0.5319646000862122;2.0639292001724243;0.9360707998275757;0.9959130573653141;0.761679470539093;2.523358941078186;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.21928974986076355;1.438579499721527;0.0;0.0;-0.8345255255699158;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7245528101921082;2.4491056203842163;0.0;0.0;-0.9528462290763855;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.530450701713562;1.0;2.0;0.0;-0.7959457635879517;1.0;2.0;0.0
1.0;0.0;1.0;0.4675772722206233;1.0;2.0;3.0;0.9498024582862854;2.899604916572571;0.0;0.0;0.8648365139961243;2.7296730279922485;0.27032697200775146;0.4675772722206233
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6065768003463745;1.0;2.0;0.0;0.23604996502399445;1.472099930047989;0.0;0.0
1.0;0.0;1.0;0.82714889204615;1.0;2.0;3.0;0.9807025790214539;2.9614051580429077;0.0;0.0;0.2921231687068939;1.5842463374137878;1.4157536625862122;0.82714889204615
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.27274245023727417;1.0;2.0;0.0;-0.18063220381736755;1.0;2.0;0.0
1.0;0.0;1.0;0.7249171187463048;1.0;2.0;3.0;0.8911078572273254;2.782215714454651;0.0;0.0;0.7622417211532593;2.5244834423065186;0.47551655769348145;0.7249171187463048
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.40429842472076416;1.0;2.0;0.0;0.6666141152381897;2.3332282304763794;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8312378525733948;1.0;2.0;0.0;0.8877696394920349;2.77553927898407;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7021576762199402;1.0;2.0;0.0;0.702971339225769;2.405942678451538;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.7421942353248596;1.0;2.0;0.0;-0.8147091269493103;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.37790319323539734;1.0;2.0;0.0;-0.8069993257522583;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8033820986747742;1.0;2.0;0.0;0.2574084997177124;1.5148169994354248;0.0;0.0
1.0;0.0;1.0;0.8554024301398471;1.0;2.0;3.0;0.8464179635047913;2.6928359270095825;0.0;0.0;0.30987006425857544;1.6197401285171509;1.3802598714828491;0.8554024301398471
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.2651022672653198;1.5302045345306396;0.0;0.0;-0.10944237560033798;1.0;2.0;0.0
