	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.5848512843605789, 1.8532548014172894, 2.0728614092385795, 1.4826253394576046, 2.048916382858043]	[0.2998317502946116, 0.1024738267051013, 0.04257132844429237, 0.45129682184762887, 0.04685047235838601]	[1.0547666789641488, 0.24012517139907574, -0.14683711397737448, 1.4480958333373364, -0.11469375277919602]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.49629136338879787
1	[1.5154378716438237, 1.568866792720403, 1.9953796833909339, 1.7174655319462304, 1.5036062745434964]	[0.2783702089949032, 0.2248056453581977, 0.04082051067950881, 0.12406942321845857, 0.291861187281777]	[0.7594296436947806, 0.6149034426701282, -0.1935473192940671, 0.25475793325555696, 0.7918647296982138]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4454816860049225
2	[1.775242234690804, 2.0818600124722675, 2.1095750052494195, 1.7927800832699134, 1.9279347394668467]	[0.29086505566113946, 0.08531824486943328, 0.07636529592334641, 0.271159725176128, 0.15792013242821457]	[1.5192892445602568, 0.28521281842514007, 0.2150777291981477, 1.4218068760067777, 0.7877549713298154]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.8458283279040276
3	[1.445027176690011, 1.45678561168478, 1.5566584784710333, 1.4633034010598651, 1.7112262677665162]	[0.25145686958260827, 0.23990373582271204, 0.1608940823673244, 0.2337299957062997, 0.08670184100972436]	[0.4668447709019856, 0.44534324274422565, 0.25983105951395274, 0.43332874027428964, 0.0013342801440920991]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.32133641871570917
4	[1.4296977610966577, 1.5922424054524627, 1.76537527842998, 2.0412574002740325, 1.9907484807008986]	[0.4812595160900008, 0.2511946362044513, 0.12567467075556782, 0.04168611511067157, 0.05101928919274908]	[1.3460705307182006, 0.8084038070035585, 0.32121806193271235, -0.16784379735024113, -0.10167501732080611]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4412347169966848
5	[1.5682313081067663, 1.7581915587263512, 2.0825501052149447, 1.8729460456321172, 1.5646703900082295]	[0.32433213094999924, 0.15170336738789328, 0.04145020792414084, 0.09586195004541372, 0.32898486894513723]	[1.1375893283135496, 0.49570790373806123, -0.1542608229076935, 0.20534219755141248, 1.1512315298494624]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5671220273089586
6	[1.4743482142401423, 1.5995591089281762, 2.0013123647329705, 1.7597995664192831, 2.109665518075825]	[0.44490647257955385, 0.26962187307902735, 0.05405529391848397, 0.14203289381807643, 0.03504366553995045]	[1.3853981132500943, 0.9278020828704638, -0.06851374823396646, 0.42988775231674814, -0.2097173401338923]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4929713720138897
7	[1.6689338014926918, 1.9050648941205097, 1.827557201609375, 1.7575273878848467, 2.1347625754929713]	[0.32874876346045173, 0.1278387177224772, 0.17430388155696425, 0.23065416709326353, 0.051007808362233]	[1.4675896106482187, 0.5020282089629751, 0.7665075211467025, 1.0489280701275445, -0.03371647407141267]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.7502673873628056
8	[1.6891280134232693, 1.8352967145143757, 1.9507549342643358, 2.106795834993546, 1.4293824546168479]	[0.19189123664814114, 0.1069385030476543, 0.06738490641196516, 0.036098721508970116, 0.5423496862334123]	[0.6552382562053467, 0.25762885017510045, 0.023589470414604904, -0.19982935228699655, 1.5877119505594905]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4648678350135092
9	[1.4473013775842827, 1.6669728803753654, 1.451185956890716, 2.0502476448995703, 2.0038952746678698]	[0.36939931911655255, 0.1534219875464873, 0.36370383899386705, 0.033118536981839704, 0.03986515508552069]	[0.9609598627308119, 0.37810926293071506, 0.9504455884409476, -0.24774428267854465, -0.1992129445043983]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.3685114973839064
10	[1.439707949250221, 2.0293444839098496, 1.896950952694014, 1.9956413309856447, 2.093276036519728]	[0.6481319160723765, 0.0612857964888134, 0.10407608685709259, 0.07013070553442972, 0.04745689857771529]	[2.07057515122388, 0.014487501867396453, 0.2949301374779, 0.0769456252584046, -0.08929420747001648]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.47352884167151305
11	[1.7867895749378053, 1.6439619761233086, 1.6920761093725407, 1.5666065777561928, 1.8771241346341792]	[0.12875305935109183, 0.2279683255938433, 0.1880579506506151, 0.3106380133128306, 0.08970783055630088]	[0.36859585922367094, 0.7901951377350662, 0.6358989033359851, 1.0608130405179448, 0.15903802608342074]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.6029081933792175
12	[1.463106347479108, 1.784291632773552, 2.109228750339306, 1.7274481852431567, 1.9648447521634316]	[0.5126390166898591, 0.14185859975741333, 0.038670704158036855, 0.17807495822138952, 0.06889739077548675]	[1.6296940355654401, 0.46085334985883764, -0.17258149487399804, 0.6302458474689485, 0.04590811349934814]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5188239703037154
13	[2.0723423844990005, 1.4697602444721596, 2.0752947698788957, 1.8822382974666338, 2.0441285426035183]	[0.056433084665508504, 0.6285302480059656, 0.05577055559134299, 0.12071977397994788, 0.06317514583139328]	[-0.009312293734485793, 2.1657311128503176, -0.014369496772161209, 0.4167961146138379, 0.04116120609593949]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5200013286106898
14	[2.0531901857463546, 1.6183678927526748, 1.490476644016487, 1.6488377866538204, 1.4849405365509596]	[0.03108030756298582, 0.17694936058926808, 0.2951337337082347, 0.15664530061300277, 0.301742202308451]	[-0.26673134380113533, 0.4438165295937311, 0.7712308735576705, 0.3717074953966928, 0.7857855461822929]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4211618201858504
15	[1.5748544708085763, 1.485976542869953, 1.9517963660330502, 1.7627434587710453, 1.6571450101392948]	[0.2486294293849546, 0.35477197682416367, 0.055047473729464884, 0.11726163099882343, 0.1788954210599847]	[0.7542704522562959, 1.027468942626232, -0.08456414045297894, 0.25869589751316613, 0.5192428199047248]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4950227943694878
16	[1.9282228592349662, 1.5452538982679656, 1.6972166409985092, 2.099105667147926, 1.7438810272764949]	[0.08701747536603754, 0.4026166258802856, 0.2192327251955067, 0.04392913349458595, 0.18190349379954143]	[0.17837269664756156, 1.4640420260602298, 0.8462501331986113, -0.12265727736780238, 0.6837479908229951]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.609951113872319
17	[1.612356190065672, 1.6786459051059963, 1.631032538760719, 1.8330458414669033, 1.820993165067443]	[0.2663159968351136, 0.20428676173984628, 0.2471457310671867, 0.11015901976976106, 0.11559996595572179]	[0.9410148774367778, 0.7145452761968651, 0.8750134010391162, 0.2802567748130775, 0.30934410608784724]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.6240348871147368
18	[1.6744320564108897, 1.7692485066964745, 2.093500546509034, 2.009502976503798, 1.505263692907195]	[0.22870522231951787, 0.15651754846002325, 0.04278381920628883, 0.05986848592255794, 0.4499369174917606]	[0.8591611453156162, 0.5455633249083609, -0.1365430417088996, -0.010036624329213598, 1.5363928067811963]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5589075221934121
19	[1.7546630840003714, 2.020857554050033, 2.0817730319743015, 1.4723819840230443, 1.5689015772747943]	[0.13917636358599153, 0.04798862729393855, 0.03761120983084482, 0.430465134226414, 0.2925945781645874]	[0.403153904928046, -0.11610838725428446, -0.1930387700470749, 1.3140840382954107, 0.9723074237978337]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4760796419439862
20	[1.4963693511028917, 2.1195652641352303, 1.9874347229359375, 2.1244648504729566, 2.0244914409403805]	[0.6417107331469949, 0.05305631934968587, 0.0900059827749269, 0.05202662637738896, 0.0776063513691218]	[2.381314907034151, -0.019648822387654908, 0.25345609178295175, -0.027968435807340878, 0.16665567425535488]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5507618829754924
21	[1.7598470027859385, 1.6974080197906236, 1.9565055266501525, 2.0887199102958838, 1.6840226634239703]	[0.21077457937149974, 0.2705738706165592, 0.09598146718949627, 0.05655974924465831, 0.2854556214839486]	[0.9139238452035658, 1.1784018415176796, 0.2806208264542696, 0.000529080636047944, 1.239163377573594]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.7225277942770314
22	[1.8429845883883853, 1.7237810972601806, 2.0693855138710715, 1.6356352111861108, 2.129919737011962]	[0.16238650862272092, 0.26159390327983106, 0.06565249780771647, 0.3721797208239533, 0.051533843892771936]	[0.6983392076496961, 1.18429789259098, 0.08049252228832958, 1.6219493771970523, -0.03049800460714504]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.7109161990237827
23	[2.1363230249186507, 2.093247810210722, 1.8133955355001248, 2.071267005770975, 1.9288458427554658]	[0.08974661627627008, 0.10662214014477635, 0.32658827596878554, 0.11642117116170851, 0.20579881258955374]	[0.37489261775622656, 0.5100159844052521, 1.8913470135412516, 0.5855655832429189, 1.2011488401450026]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.9125940078181303
24	[1.8448843137856847, 1.760048512435263, 1.462310759149498, 2.078911122039671, 1.5112442079092676]	[0.08509382662180677, 0.11947387111604428, 0.39309397635096144, 0.03336966511818956, 0.3232140876810882]	[0.09612003519458197, 0.27134716470105, 1.1138313353491451, -0.23643800312375313, 0.9610386755386975]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.44117984153194434
25	[1.657832699620627, 1.4411573382912402, 1.8802983796707127, 2.1255070716268727, 2.0987555012486996]	[0.2288520597292676, 0.5444505999466629, 0.09399231721788708, 0.03524692457597684, 0.03922775613452795]	[0.8248804553143195, 1.6554709974996547, 0.1966229929243689, -0.20245386090450673, -0.17066298856028472]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4607715192547102
26	[1.9903314122821698, 1.4817170466697172, 1.9791400903211567, 1.6658277201703633, 2.0899332727289743]	[0.06671400757484398, 0.5102355092338724, 0.06976833317164041, 0.2443079959903906, 0.04479101215277925]	[0.04214340460513606, 1.7073656679719342, 0.06293545057294338, 0.9371861930178853, -0.11768667976696309]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5263888072801873
27	[1.5868034914097435, 1.710363902359033, 2.0940573906905584, 1.474703074242361, 1.9873569235662147]	[0.27025044736986215, 0.16486178696487092, 0.03552844043615268, 0.4231601787688664, 0.05444197106317993]	[0.899353383141991, 0.5150883763348214, -0.2098710982121921, 1.2912114699049533, -0.07196591349778873]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.484763243534357
28	[1.9999622991713106, 1.7893356065166728, 2.073300054092459, 1.5373170864857955, 1.6952502080785057]	[0.06750100490825355, 0.1567495417268197, 0.05033957089891597, 0.4295436371037948, 0.22837541906174894]	[0.055388476204089786, 0.5763910727043342, -0.069410384271387, 1.5684921981327218, 0.9011523214232239]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.6064027368385967
29	[1.7776484810304207, 1.9265537325518085, 1.5727455776204695, 1.4355185466944533, 1.8095788551285665]	[0.11060275433899038, 0.06096646667019718, 0.25102602173908517, 0.4346168027896779, 0.09734131328001176]	[0.22691032410862355, -0.04662392438867092, 0.762130538373934, 1.1838064057079014, 0.16015514453851507]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.45727569766806064
30	[1.4344949038287476, 1.470866283092629, 1.633824114363249, 1.9746666609337613, 1.743229678115362]	[0.3539350831673535, 0.30601312658800484, 0.1594605686707593, 0.04078957308123469, 0.10294289513177664]	[0.8548698248048507, 0.7650697815296955, 0.3664498340321632, -0.2016609618404366, 0.13888814702047056]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.3847233251093487
31	[2.0030638117954824, 1.8848513292108533, 1.6402943024840204, 1.8848756316282715, 1.5250577737097746]	[0.061516578559976845, 0.0987070762999503, 0.26253508908728884, 0.09869748148403079, 0.4162686565824516]	[0.0017088620519067456, 0.2392431104150751, 0.9875235007730879, 0.23918666971501892, 1.455117448458911]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5845559182827998
32	[2.0872197500017386, 1.7616273441926165, 1.5031186204109634, 2.035320680724807, 2.1029799728906187]	[0.05373721128679464, 0.19764556135339417, 0.5558565334067566, 0.06613525652359661, 0.05045414064151336]	[-0.02869074085725915, 0.824749770136637, 2.0212172431467272, 0.06440152269762174, -0.05439594815037539]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5654563693946703
33	[1.5065134078697557, 1.4441771300406128, 1.4920915962311048, 1.8321537119446678, 1.447409555887505]	[0.19920274755997158, 0.25561393744036276, 0.21103212742895006, 0.054150213799809666, 0.2523301996722568]	[0.36486456474313306, 0.4819730066140067, 0.39218220804068005, -0.15250614736810067, 0.4760159179588506]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.3125059099977139
34	[1.9328055553239585, 1.5851218312823212, 1.9292773500635718, 2.1103485411092664, 1.873790979038648]	[0.11690252175721161, 0.4696911430900742, 0.11856404292427655, 0.05746456500316852, 0.1480276003612486]	[0.4403652502456724, 1.9764157408497993, 0.4508498577806974, 0.02117265483130955, 0.6284379048393646]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.7034482817093687
35	[1.5225197026397972, 2.0008448328270756, 2.1029132461834745, 1.9012179209797015, 1.8296161388884933]	[0.5245428275509529, 0.077418560981319, 0.05146762166314284, 0.11532269072679333, 0.153567672575792]	[1.9695352668224502, 0.14791058118678505, -0.04407018045551835, 0.39295810468765013, 0.6104351169277805]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.6153537778338293
36	[1.460257246562069, 1.9558637532998122, 1.4782631614515807, 1.9655951165013026, 1.4548623997867207]	[0.29958259533629333, 0.04126291398140643, 0.27876426529038767, 0.039687595271653914, 0.3061176618987301]	[0.7075653413990035, -0.2045751274531759, 0.6652919579280445, -0.21494871182905126, 0.720132827317062]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.33469325747237655
37	[1.6607547379615786, 2.0056182835098095, 1.455506538807108, 1.7978816790053591, 2.0373726627174906]	[0.21827341402276457, 0.05494289029643244, 0.49608201522371326, 0.12612086655575605, 0.048389205920926735]	[0.7663107192939882, -0.05808674558628107, 1.5237156812253783, 0.3623690152300789, -0.10491469129394589]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.49787879577384364
38	[1.6983582047820633, 1.791818958186484, 1.5930367737387823, 1.8864982920974362, 1.7723448810191378]	[0.21158589332810868, 0.1455890631848751, 0.3224398977311371, 0.09969052943250176, 0.15738331493226357]	[0.799088402112437, 0.4981166711976419, 1.2017357735371585, 0.24882745469037976, 0.5562494538585459]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.6608035510792325
39	[2.132913566267812, 1.4592318834328883, 1.9806304169207463, 1.4964318378916284, 2.057923787209607]	[0.029898134105909583, 0.4425364373291128, 0.05497775623588992, 0.38135205886053564, 0.0403566096889877]	[-0.2561821645397848, 1.3129987302544155, -0.07049079628860268, 1.1840994328909884, -0.17443869490186603]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.39919730148303006
40	[1.71844389229793, 1.957885214294713, 2.0903047493871, 1.468365742768782, 1.4317203047898968]	[0.1281807107322436, 0.049189283408477724, 0.028962376989103932, 0.3485402327352525, 0.4035641346350069]	[0.28325083109598004, -0.133452417279983, -0.2774392515393612, 0.9425349594714757, 1.0442950882627884]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.37183784200218
41	[2.0839605046284446, 1.844760042853483, 1.483609546285956, 1.9974534197400078, 1.992025339337724]	[0.05291272041211777, 0.13775071223843063, 0.5840856335119768, 0.07478909690011554, 0.07643069882888673]	[-0.03859439656497179, 0.5081802419975945, 2.047231600696253, 0.12117618819752818, 0.13250389095047307]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5540995050553755
42	[1.5017121808996023, 1.7115468293347644, 1.943825472607777, 1.9270837020657168, 1.8826966569983283]	[0.46748136115219124, 0.20195015004702765, 0.07975076323054078, 0.08527432341135757, 0.10184189628830398]	[1.6031452972668454, 0.7614165757348783, 0.12740419281382456, 0.1624805094462407, 0.26291138718182244]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.5834715924887225
43	[1.9068780389069335, 1.5657335322746493, 1.527085701673097, 1.8182983286437555, 1.4731953807050955]	[0.057923572701740894, 0.22671698014333377, 0.26461972053036403, 0.0825532277885843, 0.32827611305891924]	[-0.0833074365480743, 0.6183959544638541, 0.7223181910666612, 0.05589538321104171, 0.8692848469211851]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.43651738782293353
44	[1.549371048808222, 1.8980922737711692, 1.8267520973352969, 1.4345176304788139, 2.0066251871083653]	[0.28684710268240105, 0.0710983713930675, 0.094578023223995, 0.45412069187773724, 0.04605944189166675]	[0.8901024535480861, 0.021610012557965807, 0.15447632767128014, 1.2583000038794576, -0.14043030522133076]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.4368116984870918
45	[1.805032697258772, 1.9826721437819617, 1.7809750237660376, 1.8042297275510664, 1.8360375306811472]	[0.2025345642167005, 0.09951941725113951, 0.22299319458579467, 0.2031861265054438, 0.17891149205833262]	[0.9407063070317727, 0.33610491454119845, 1.0436027989134191, 0.944054692723597, 0.8158960628570252]	1	2.09723128042776	1.3115206237619526	0.06152062376195246	0.16944625580953138	0.8160729552134026
