	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.4823601258950756, 2.036269279227593]	[0.8095859846263469, 0.0883129162292056]	[1.462812321168127, -1.1470525469804806]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.15787988709382322
1	[1.8613303571073097, 1.4148843766052275]	[0.13265220073319675, 0.7911713691036305]	[-0.9485482595455562, 0.919295455523265]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.014626402011145657
2	[1.8583102934401627, 1.9360809184784964]	[0.43477980947719186, 0.318542918428074]	[1.3114904228723494, 0.6568854033217658]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9841879130970573
3	[1.6508530113928521, 1.6748414156335325]	[0.4638335193252912, 0.4213956069083947]	[0.6892297843366553, 0.536369674862709]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6127997295996822
4	[2.05512880549568, 2.0150494223531883]	[0.29234616171646954, 0.3431803525072207]	[0.7466249963956173, 1.0947468494932115]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9206859229444142
5	[1.4650455501903885, 2.0408167342095362]	[0.8212700197130204, 0.082085978032394]	[1.3878843829011205, -1.200119069694817]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.09388265660315197
6	[1.6967746926994403, 1.4305537819633325]	[0.23821804147180883, 0.6909517796155743]	[-0.4970362160469995, 0.6508621586988192]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.07691297132590988
7	[1.7361493189143418, 1.5869932315804391]	[0.31605257277726523, 0.5739446244791772]	[0.08497646032012073, 0.9948600723761888]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5399182663481545
8	[1.8194238022887588, 1.4093939557184307]	[0.1505702843993041, 0.7763080145786395]	[-0.8689113448558151, 0.8282646817388042]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.020323331558505436
9	[1.514697588683152, 1.7553263472190752]	[0.6555393961593993, 0.25037088742354086]	[0.9992500858105278, -0.2951624539077783]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.35204381595137446
10	[1.6719757015651955, 2.0271556563872264]	[0.6619032256101277, 0.15987616408366837]	[1.9365299106469702, -0.5124564132645776]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.712036748691196
11	[1.4276291644935326, 1.6848325622104043]	[0.6855186283219793, 0.2450254499656513]	[0.6129431684638242, -0.481175149348553]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.06588400955763563
12	[2.070767357659899, 1.5700948880022751]	[0.10270994198716166, 0.7609736996283419]	[-0.9858978783700639, 1.840900502533511]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.4275013120817236
