	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.9866861551740012, 1.9839793490953976]	[0.3379492814539125, 0.3416282145081492]	[0.9647307232676897, 0.988344037378205]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9765373803229473
1	[1.8431168801247202, 1.9749576892238614]	[0.47079502293639186, 0.27784393396298473]	[1.518879189396798, 0.41862630262972095]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9687527460132593
2	[2.092406419350821, 1.6343606538952038]	[0.11501255048880409, 0.7185421149600808]	[-0.8491880682536691, 2.032825263541423]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5918185976438767
3	[1.4896229494121263, 1.729409483299755]	[0.6609155062534137, 0.25327601665806787]	[0.878748260025086, -0.33330538758089967]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.27272143622209327
4	[1.5390030289245251, 1.4073091716503967]	[0.3506743991051692, 0.5938540512245726]	[-0.2960105801404098, 0.1654583886115573]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.06527609576442614
5	[1.6420885806394705, 1.83861959482284]	[0.5901366776143077, 0.2688705697087705]	[1.3616287378077503, 0.022288613069411545]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6919586754385811
6	[1.449214258277407, 1.655228620040573]	[0.645534575364995, 0.28316260978118774]	[0.5853216787481841, -0.3263719791669773]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.12947484979060342
7	[1.6885274887488981, 1.9769056920858683]	[0.6237481465802277, 0.19680902893469615]	[1.8028477222880364, -0.26764824098073764]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7675997406536494
8	[1.6415454665706297, 1.9165304027358323]	[0.6364205296256132, 0.2118587566208334]	[1.6180158691258073, -0.25096643645512234]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6835247163353424
9	[1.4009790026505407, 1.8420561185598192]	[0.7921550593144477, 0.1357002882456139]	[0.8267086638990053, -0.9484619270478524]	1	1.924980914774159	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.06087663157442354
