	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.9967926038923256, 1.4588613478722137]	[0.0944560653265782, 0.8122919608989273]	[-1.1240335368307843, 1.3075921425044215]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.09177930283681852
1	[2.020246252499997, 1.9917540021935445]	[0.31200546885050984, 0.3496699526817764]	[0.8326866842585703, 1.0811435684957567]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9569151263771637
2	[1.503455623459549, 2.048124127116908]	[0.7997373890962001, 0.09052349185399937]	[1.5686074189152666, -1.1176899223901506]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.22545874826255802
3	[1.4780921662339903, 1.930319637750793]	[0.776510198622809, 0.12721771251299796]	[1.2946217182670303, -0.9127972735392027]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.19091222236391392
4	[1.547499229249126, 1.7701223345802999]	[0.6352807406263014, 0.2607532586671566]	[1.0901266926189246, -0.19303437750114275]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.44854615755889093
5	[1.4433766326301594, 1.6100510031260085]	[0.6167861653973143, 0.31665881800532825]	[0.4411682683909134, -0.2596686788781108]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.09074979475640116
6	[1.4465345907596872, 2.0097240425843155]	[0.8234608640699913, 0.08655311028809391]	[1.2637246719542055, -1.1830255650521055]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.04034955345105015
7	[1.466793875694835, 1.7747442858827893]	[0.7090848014474462, 0.20688715211490558]	[0.9433152804419928, -0.5467872171865633]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.1982640316277147
8	[1.7257742902545556, 1.8205475714966952]	[0.49544549232201424, 0.33912345575263575]	[1.192828285562756, 0.4830519612373008]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8379401234000284
9	[1.9514069050506475, 1.8355731660058887]	[0.2930216711239818, 0.46571857032220204]	[0.48755524398275407, 1.4508534196509428]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9692043318168485
10	[2.0474865359026513, 1.8932865149707538]	[0.24617362436879428, 0.4561570512361637]	[0.30495581631505136, 1.6109127262533722]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.957934271284212
11	[1.4901244872328274, 1.9165279904624795]	[0.7623378949980868, 0.13848691937720348]	[1.3155447928564028, -0.837956863736121]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.23879396456014076
12	[2.061624070151191, 1.7261629266377925]	[0.1637832907920019, 0.6266503505448742]	[-0.4281490004752359, 2.0261513109443783]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7990011552345714
13	[1.9445134172334064, 1.432131795129808]	[0.10454583988304357, 0.8117172967297862]	[-1.0839524536607208, 1.1159039166416318]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.015975731490455634
14	[1.9291420665330357, 2.081050325170926]	[0.4351926314615506, 0.23702265551637755]	[1.583651395395137, 0.29072672990873133]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9371890626519341
15	[1.447779541006476, 1.9255761840049617]	[0.7950843666066308, 0.11759678051864805]	[1.1617618594709576, -0.9957934459790142]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.08298420674597169
16	[1.4031480963388896, 1.7005143704971413]	[0.716203313837569, 0.21800085567431704]	[0.5744340082495846, -0.6128805798154028]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.01922328578290898
17	[1.7218060008444134, 1.8343293762714992]	[0.508591661767254, 0.32426204075065335]	[1.2584939925964602, 0.41561720538458224]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8370555989905211
18	[1.763599685263023, 1.8026967722254543]	[0.4456977575563462, 0.38117275623800184]	[1.0248264102319677, 0.7248317657067619]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8748290879693649
19	[1.587620493171588, 2.0410319258216014]	[0.7378978782498383, 0.12032058329698374]	[1.8389513620905864, -0.8525301354335839]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.4932106133285012
20	[2.0376232624360804, 1.5384208799431993]	[0.10495463182325039, 0.7730453457382342]	[-0.9952820443253829, 1.6872441044907551]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3459810300826862
21	[1.4812699894543833, 1.9905289279496736]	[0.7961902697448919, 0.10383493093390582]	[1.3988347403194954, -1.048107323218801]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.17536370855034722
22	[1.9069259345261007, 1.8931952920352941]	[0.3642179397909303, 0.3847812512026306]	[0.937399386843997, 1.0540689341394807]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9957341604917391
23	[1.7536001330928332, 1.4211024142373017]	[0.19401561487729566, 0.7335747641262905]	[-0.6696396871121935, 0.7505289153999748]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.04044461414389067
24	[1.951591941091875, 2.0690563603185104]	[0.4083212441500112, 0.2552380274624975]	[1.445731950523941, 0.43588966890704334]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9408108097154921
25	[1.5123544966637743, 2.023162147550501]	[0.7862867763306791, 0.10191009242025423]	[1.5705738314292834, -1.0357208084335916]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.267426511497846
