	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.4164239602450215, 1.5882166427403657]	[0.6250488150367058, 0.3143977866974183]	[0.3260946568074512, -0.33162874858803876]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.0027670458902937798
1	[1.511467524352168, 2.0036486422782205]	[0.7804436090452324, 0.10897712696590503]	[1.5383995763658413, -0.9911674981891705]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.2736160390883355
2	[1.742376382188942, 1.6998282924069232]	[0.3933348076377736, 0.46631134630352117]	[0.602946234037919, 0.9026517421200685]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7527989880789935
3	[1.8342885099167467, 1.9037412338085005]	[0.4399815588740392, 0.3332596509791796]	[1.2582063424022747, 0.6830589460219691]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9706326442121217
4	[1.4293334067363463, 1.7890191524383559]	[0.7466934861100893, 0.1771349358601289]	[0.852396643560982, -0.725916942784567]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.06323985038820744
5	[1.5108264852030986, 1.440038745640686]	[0.40508291962846377, 0.5376687930167887]	[-0.13965647136241943, 0.11930855366943885]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.01017395884649029
6	[1.9805748674793409, 1.520841507762734]	[0.1217275427010837, 0.7656450871104439]	[-0.9039826843171002, 1.5349794817557876]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3154983987193439
7	[1.8451796932068225, 1.9430041712065658]	[0.45156718000844015, 0.30534010164523206]	[1.385505293592363, 0.5674596142370912]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9764824539147274
8	[1.4649569905745345, 1.4977167120709556]	[0.5012987981949495, 0.43973111634711604]	[0.08864685531540187, -0.03548358753427]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.026581633890565934
9	[1.7890049127633316, 1.6304334981261808]	[0.301598148241474, 0.5687159810174962]	[0.13124355756966044, 1.1837155012324478]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6574795294010541
10	[1.5391926902286361, 1.5062213418214236]	[0.43491820062304404, 0.4962319023350832]	[0.10106206886854625, 0.24681897381909912]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.17394052134382282
11	[1.4972357937568488, 1.3994540910827968]	[0.38277612230105046, 0.5659903858314944]	[-0.2845285437070152, 0.0275873802867209]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.12847058171014714
12	[1.8127369227080918, 1.6132273357626585]	[0.27070970581409903, 0.6012948409987425]	[-0.02540843436858517, 1.272686258546602]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6236389120890085
13	[2.0157715535613248, 1.8341978312530067]	[0.24198280164857658, 0.5002768000272306]	[0.19964933459992762, 1.6968986928124785]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9482740137062032
14	[1.4217623933953183, 1.8711854048280445]	[0.7907328318369584, 0.13100927274108398]	[0.965180206703736, -0.9496306356538091]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.007774785524963392
15	[1.453362842471623, 1.4814332681003417]	[0.4984806010919935, 0.4455381919726787]	[0.026761701439453976, -0.07358129046076575]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.02340979451065601
16	[1.5241868550656246, 1.5160013027691723]	[0.4582180599206467, 0.47346945111197297]	[0.15070400782866422, 0.18665751015545304]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.16868075899205862
17	[1.8090763962294043, 2.0795081035482528]	[0.554031516768068, 0.18782200742155758]	[1.9668269032606498, -0.17607028647980005]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8953783083904248
18	[2.0635579871196654, 1.5341625168283288]	[0.09433528851074828, 0.7840221058483466]	[-1.0701077567791781, 1.7096898162455614]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.31979102973319157
19	[1.6280660778346312, 1.9529298360373413]	[0.6673055441111331, 0.18196111225869022]	[1.7124546904870506, -0.4323397738757496]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6400574583056504
20	[1.8879713287372226, 1.8010530927778465]	[0.32737504708569665, 0.4634874882123206]	[0.59157426546713, 1.2949241081502922]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.943249186808711
21	[1.4686660578388167, 2.0931144881296824]	[0.8321827199871759, 0.06846059408565451]	[1.4584810865936833, -1.2926543414591734]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.0829133725672551
22	[1.6441067329994203, 2.0599432120635193]	[0.6991267724346553, 0.13248721790093324]	[1.9847945193005347, -0.720102974124951]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.632345772587792
23	[2.026235880416369, 1.6897862662113843]	[0.168013567827969, 0.6453825190776354]	[-0.4408470089050816, 1.9399613062258398]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7495571486603794
24	[1.9561464374631348, 1.397839747989725]	[0.08953327129934449, 0.8353385238329413]	[-1.1986311755433237, 0.9549631583050479]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.12183400861913794
25	[1.826738136370222, 2.063297475428371]	[0.5295912279499879, 0.20558674974002888]	[1.8758683439401163, -0.03776749785037386]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9190504230448711
26	[1.4692130920648319, 1.951686734433225]	[0.7906276409488494, 0.11477027740800057]	[1.2922596904531494, -0.9924715314263431]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.14989407951340317
27	[1.838209907596377, 1.8714743970638872]	[0.416849967051809, 0.36491644440777943]	[1.1040233730850584, 0.8300063263560858]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9670148497205722
28	[1.420883883277124, 1.8922895578892525]	[0.7997721000174888, 0.12135305581156781]	[0.9923250422836517, -1.0007052492508013]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.004190103483574809
29	[1.4061286334196916, 2.0718838450098462]	[0.8600622160712006, 0.059978363241199685]	[1.103046800243979, -1.3847028655186528]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.14082803263733693
30	[2.023967250851096, 1.5777655929520134]	[0.12408421903143041, 0.7393468434088155]	[-0.8368130581527856, 1.782783988300178]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.4729854650736961
31	[1.461812384798626, 1.6900014178072846]	[0.6589436040707234, 0.264510730841459]	[0.7103610179105848, -0.35276309714609916]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.1787989603822428
32	[1.8001617164116785, 1.4879779229813563]	[0.20261163215656025, 0.7062901838179417]	[-0.5307487090701573, 1.0625289790085757]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.2658901349692094
33	[1.965503149365773, 1.922039505894914]	[0.3266914587240142, 0.38872445396201494]	[0.8073664862683356, 1.1826828723107903]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9950246792895627
34	[1.4272983551346785, 1.8168964865576875]	[0.7623933055609123, 0.16046406860154122]	[0.8976897228409647, -0.8016854066428036]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.04800215809908054
35	[1.9860167347254847, 1.726694130801352]	[0.20976833138610343, 0.5918742244327969]	[-0.14045950764348988, 1.8084671247012223]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.834003808528866
36	[1.9572283565399142, 1.9399372077954844]	[0.3431283687337127, 0.36770067535126244]	[0.9211072340054272, 1.0709219371415886]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9960145855735082
37	[1.4210583042223806, 1.4777810893498569]	[0.5275101779658107, 0.42042958895016186]	[-0.0071062503164172315, -0.19249844302944183]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.0998023466729294
38	[1.422684555871411, 1.8320389535951311]	[0.7729073222441359, 0.15031627238012712]	[0.9057776424532309, -0.8541761577112537]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.025800742370988616
39	[1.989522971520082, 1.416531535534117]	[0.08436450476429891, 0.8347334876374021]	[-1.2171911652764063, 1.0890539760809108]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.06406859459774762
40	[1.8909573532119526, 1.7144042966084805]	[0.2722711717127177, 0.5517034926186644]	[0.17156678256107813, 1.4944745751257038]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.833020678843391
41	[1.8760508356869643, 1.6221753824372291]	[0.2288416494527103, 0.6317742242809472]	[-0.19595842569670596, 1.4851786546032795]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6446101144532866
42	[1.7047584586137279, 1.6163143939742677]	[0.3661101438911407, 0.521500631974121]	[0.3063145672609047, 0.8596230778850437]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5829688225729739
43	[1.610483138174186, 2.057171145366602]	[0.7256652357558913, 0.12155134570887545]	[1.9210233194065014, -0.8242227047003551]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5484003073530731
44	[1.8914586339284487, 1.9134164895776444]	[0.3900581473357757, 0.357260211899995]	[1.0892973497240965, 0.902560050030982]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9959286998775395
45	[1.632204296714561, 2.0480172443582907]	[0.7046345466809024, 0.13354353163263416]	[1.9425536601271272, -0.7242317065685431]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6091609767792919
46	[1.7705671090732247, 1.9363743409375935]	[0.5222997899011643, 0.2690810958494432]	[1.5671650203705327, 0.2534306114705551]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9102978159205439
47	[1.8472840461767495, 2.0733336280221017]	[0.5134134283895606, 0.20786380810426458]	[1.8511986151175917, 0.0015760236413227804]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9263873193794572
48	[1.4420568227359982, 1.5850058320193954]	[0.5981402761462242, 0.3376565534391839]	[0.36211552149929155, -0.2216721788626704]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.07022167131831059
49	[1.4176872570662384, 1.6362681089866808]	[0.6602783362452086, 0.2754312524378898]	[0.46143011471900647, -0.4161745516757403]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.02262778152163309
50	[1.7631669819529225, 1.9396170805814992]	[0.53149437727742, 0.2624058167303391]	[1.5946773818007414, 0.2062983902487249]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9004878860247333
51	[1.7375724472937986, 1.4461669015810863]	[0.21939652437983748, 0.7038060978914471]	[-0.5333781604164508, 0.7950882075691426]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.13085502357634576
52	[1.8173248045256227, 1.4301104938368097]	[0.1616119672436937, 0.7605603321939585]	[-0.7928961059938353, 0.9095222096032474]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.05831305180470604
53	[1.4421137561193373, 2.054574404317063]	[0.8377527580964695, 0.07230407038211607]	[1.2871025509129175, -1.2803052861871949]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.0033986323628613867
54	[1.5138675129091221, 1.572478389914803]	[0.5170456056305989, 0.408988719364563]	[0.37329662240715106, 0.0978541526692904]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.2355753875382206
55	[1.511866826463472, 2.0167929041215156]	[0.7845543920141584, 0.10410620630094929]	[1.5594865709001684, -1.021895299579557]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.26879563566030557
56	[1.912811908017011, 2.0123593432072817]	[0.42068023163132917, 0.2825013302718443]	[1.405987455054489, 0.5504897832105649]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9782386191325267
57	[1.6873895774082857, 1.7481135231256573]	[0.48292112475841403, 0.3787807549329797]	[0.9516818430876917, 0.5276042284714547]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7396430357795732
58	[1.890773870143128, 1.605589234212048]	[0.20941918992297912, 0.6552890790823658]	[-0.31756556526912644, 1.5180131276231779]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6002237811770257
59	[1.715411976716449, 1.5272834816827559]	[0.2904717738194526, 0.6164766134969174]	[-0.13197601869850936, 0.8914794688649345]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.37975172508321253
60	[2.063204420162765, 1.836239690538042]	[0.209790609763144, 0.5200728278981227]	[0.001079255216366174, 1.850312939982206]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9256960975992862
61	[1.9661374871276271, 1.5401711365429336]	[0.13571338178477224, 0.745765029943076]	[-0.8013777022200983, 1.5704269988169128]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3845246482984071
62	[1.7547592797737677, 2.019163374212111]	[0.5806416934738107, 0.2016467657518902]	[1.879459718714674, -0.15201714614285602]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8637212862859088
63	[2.0842960533041146, 1.6889597760028938]	[0.13769386348448223, 0.669397430035349]	[-0.6426615355418251, 2.0797253976258108]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7185319310419929
64	[1.4578667954043751, 1.606232163087403]	[0.5999674553737945, 0.3314291104525791]	[0.45196228079115386, -0.19206480224145986]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.12994873927484699
65	[1.5928784091173962, 1.4735452414310362]	[0.3561258750585587, 0.5739928390547557]	[-0.10288867717416152, 0.42670475090628235]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.16190803686606042
66	[1.9202360805930765, 2.0882076621324597]	[0.4469115315518732, 0.22825748978181282]	[1.6439526010331442, 0.22227692696155976]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9331147639973517
67	[1.6011377794628172, 2.054217551726764]	[0.7320148445698811, 0.1195197589024008]	[1.8951459287899999, -0.846051133595263]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5245473975973686
68	[1.8891587341441762, 2.0694661358456]	[0.46991886077586703, 0.22845298548146453]	[1.7012860978332836, 0.1867611904639265]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9440236441486053
69	[1.8785388082799128, 1.6553050303793817]	[0.24645931472516044, 0.6019245105193145]	[-0.055886653651980235, 1.4971352242370557]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7206242852925375
70	[1.7465967943992298, 2.0685961109430964]	[0.6102293509552178, 0.16831506424832646]	[2.03090870153116, -0.3759113887445458]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.827498656393307
71	[1.462456363776736, 1.421883953653414]	[0.43617368125582623, 0.5130278622251395]	[-0.18518384968513998, -0.05663601600393233]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.12090993284453615
72	[1.6450625579243459, 1.6080633665985362]	[0.4164439290856128, 0.48287054444452326]	[0.39895434950271097, 0.6170293685921052]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5079918590474084
73	[1.6385093950127085, 1.5461224152613322]	[0.37277274321316767, 0.5394320816286569]	[0.13173654142388047, 0.6255840988537466]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3786603201388134
74	[1.5684111524734001, 1.6253893011200093]	[0.5065533901647857, 0.4033146931590735]	[0.5674038095654066, 0.25577044571677415]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.41158712764109034
75	[1.4896798799712099, 1.8272849685367811]	[0.7199457067941379, 0.1865604747047732]	[1.1313893904393164, -0.5986881012731609]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.26635064458307756
76	[1.8891084773892608, 2.0328502570446116]	[0.4536243515726532, 0.25526502456725253]	[1.574621279360282, 0.3554690608519113]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9650451701060965
77	[1.5328034621817839, 1.6012975673761163]	[0.5222857060426059, 0.39711993842353005]	[0.48312793961969824, 0.13844332129547568]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.31078563045758695
78	[1.4201265112343506, 1.7239741674359903]	[0.7168882934223972, 0.21262486301852096]	[0.683087659331062, -0.6022124978815038]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.04043758072477909
79	[2.03746161149849, 1.971872676741951]	[0.2888800170738244, 0.3755408205310896]	[0.6701529485068168, 1.2399309650318846]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9550419567693507
80	[2.027019913358785, 1.7871256967634144]	[0.21165239129406385, 0.5525379570783857]	[-0.048492102103054914, 1.8504114335276258]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9009596657122853
81	[1.5209469101955226, 1.9027684044556068]	[0.7329833564108117, 0.15914838698091188]	[1.3871637937993897, -0.6917763290420721]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.34769373237865875
82	[1.4062205300985424, 1.781891272448248]	[0.7601465291026395, 0.169157163911624]	[0.7494554681761677, -0.7913856760069518]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.020965103915392053
83	[1.5773982770110897, 1.6766017726013658]	[0.5385309285418464, 0.36214002528158706]	[0.7683070099584643, 0.1928874837028796]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.4805972468306722
84	[2.0762291893798297, 2.0609638883268424]	[0.2924424636074783, 0.3108558021328023]	[0.8013740460425048, 0.9329310043478294]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8671525251951672
85	[1.4399176191299803, 1.7121421312812248]	[0.6929955919523325, 0.23325344046709448]	[0.7151849992908812, -0.4959425059788673]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.10962124665600685
86	[1.8704568505343133, 1.947804013119088]	[0.4292760320898695, 0.3150437421397285]	[1.3157699339467102, 0.6605320652954447]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9881509996210772
87	[1.9430940432559287, 1.7417926864172393]	[0.24791873330939299, 0.5546328878499549]	[0.0950040118657773, 1.6453361417951167]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8701700768304469
88	[1.5253941663583408, 1.9228465509044017]	[0.7386784160598069, 0.1506641409031514]	[1.4417352718243697, -0.732227611472459]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.35475383017595535
89	[1.6672203379334143, 1.596303877920619]	[0.3857770683470872, 0.512307740187239]	[0.30089475066183197, 0.7206851772356396]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5107899639487358
90	[1.7628448484373453, 1.7592854691329964]	[0.41638660970081215, 0.42235732444408536]	[0.8267159483996311, 0.8533508808793934]	1	1.9249809213956623	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8400334146395123
