	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
0	[2.602290630340576, 5.274526596069336]	[0.39770936965942383, 0]	[0.6372459966039514, 0.0]	1	2.0	1	0.3186229983019757
1	[2.4719672203063965, 3.1595025062561035]	[0.5280327796936035, 0]	[0.7772469429562534, 0.0]	1	2.0	1	0.3886234714781267
2	[4.000486850738525, 3.298849105834961]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
3	[2.2304656505584717, 4.023497104644775]	[0.7695343494415283, 0]	[0.9468855839126604, 0.0]	1	2.0	1	0.4734427919563302
4	[2.6120128631591797, 8.82390022277832]	[0.3879871368408203, 0]	[0.6254402553277032, 0.0]	1	2.0	1	0.3127201276638516
5	[2.2474517822265625, 10.413201332092285]	[0.7525482177734375, 0]	[0.9387676154728979, 0.0]	1	2.0	1	0.46938380773644894
6	[3.9820618629455566, 2.3098015785217285]	[0, 0.6901984214782715]	[0.0, 0.9040229819454453]	1	2.0	1	0.45201149097272264
7	[3.655007839202881, 8.546998023986816]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
8	[10.228049278259277, 5.373515605926514]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
9	[10.459386825561523, 7.504688739776611]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
10	[7.698343276977539, 2.9210221767425537]	[0, 0.07897782325744629]	[0.0, 0.15171814994840815]	1	2.0	1	0.07585907497420408
11	[4.256617069244385, 2.428410291671753]	[0, 0.5715897083282471]	[0.0, 0.8164646219897236]	1	2.0	1	0.4082323109948618
12	[8.36531925201416, 5.322861671447754]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
13	[2.280916452407837, 7.881758689880371]	[0.7190835475921631, 0]	[0.9210859467665955, 0.0]	1	2.0	1	0.46054297338329775
14	[8.840517044067383, 3.0439000129699707]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
15	[2.676863431930542, 10.291108131408691]	[0.323136568069458, 0]	[0.5418558945152085, 0.0]	1	2.0	1	0.2709279472576043
16	[8.534871101379395, 6.487462997436523]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
17	[3.93229079246521, 8.990583419799805]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
18	[2.278444290161133, 2.238593101501465]	[0, 0.7614068984985352]	[0.0, 0.9430733319159117]	1	2.0	1	0.47153666595795585
19	[3.4984426498413086, 3.738349676132202]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
20	[9.118094444274902, 8.542693138122559]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
21	[10.890852928161621, 2.336007833480835]	[0, 0.663992166519165]	[0.0, 0.8870987358395155]	1	2.0	1	0.44354936791975774
22	[10.108733177185059, 4.787726402282715]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
23	[3.2592334747314453, 10.971384048461914]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
24	[3.386491060256958, 4.069231986999512]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
25	[5.185880184173584, 6.941296577453613]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
26	[8.054121971130371, 3.4842352867126465]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
27	[3.3059489727020264, 7.06252384185791]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
