	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.8558254417528652, 1.4104002761181493]	[0.13330312223807825, 0.7918138387408513]	[-0.950059766260103, 0.8906300112904193]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.029714877484841914
1	[2.045229055653546, 1.6160788321571522]	[0.1288013617885478, 0.7168540622571701]	[-0.7707472577168293, 1.9090843221675107]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5691685322253406
2	[1.7151809142126666, 1.641318266793192]	[0.37540606189939335, 0.5044450234670158]	[0.3976525807195145, 0.8779662386352988]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6378094096774066
3	[2.075816937991788, 1.4377441688144053]	[0.0658295062343615, 0.845019105823743]	[-1.3276983034499241, 1.2829142080642715]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.022392047692826406
4	[1.8924577369406552, 1.6553211723439023]	[0.23627521179632988, 0.6100515950656155]	[-0.10527775152905192, 1.5437081106201176]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7192151795455327
5	[1.488133742433591, 2.0329471139638344]	[0.8050313779293657, 0.09106993877843639]	[1.4842063551390725, -1.124755203540784]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.1797255757991444
6	[1.7985580108336086, 1.9023547077666918]	[0.4746170837255559, 0.31335024284674506]	[1.3624078021829809, 0.522210393286822]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9423090977349017
7	[1.547939613434411, 2.026161078081549]	[0.7624299923636075, 0.11257558158609038]	[1.7007024569996885, -0.9375211048666934]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3815906760664977
8	[2.05501138622811, 1.7685974783258782]	[0.18550687469722357, 0.5833267971681583]	[-0.2375514353172743, 1.967609719119993]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8650291419013593
9	[1.9783167944780868, 1.3969871621819854]	[0.08232580173537864, 0.8421878558448053]	[-1.2428528577306004, 0.9724809005350858]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.13518597859775722
10	[2.0036664581676944, 1.7580060481698165]	[0.213388963115052, 0.57006948578556]	[-0.07642305203506539, 1.825964737766827]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8747708428658807
11	[1.7026804374295754, 1.65074225946937]	[0.3944229140022827, 0.48549861318742055]	[0.4733310693229944, 0.8118428762643816]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.642586972793688
12	[1.6999018904229504, 1.7466405696348681]	[0.469360755973049, 0.3893259686549449]	[0.9215809954460895, 0.5914599837657405]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.756520489605915
13	[1.8865447080582953, 1.6234007519897313]	[0.2222114706405345, 0.6366406216878285]	[-0.22630409241381605, 1.5184166645048536]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6460562860455187
14	[1.429255355598224, 2.0748185286949563]	[0.8491966817713877, 0.06420224185580259]	[1.235953802342755, -1.3435387234120348]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.05379246053463973
15	[1.9102468641560102, 1.6485767533379825]	[0.21994717167297223, 0.626449291697295]	[-0.19832125714046367, 1.6006259267273009]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7011523347934184
16	[1.8512282227889783, 1.8639912454380487]	[0.39972120353869445, 0.3798267479652612]	[1.0241220193727765, 0.9186176215684918]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9713698204706338
17	[2.0114153704676587, 1.6207509508957396]	[0.1466661572550416, 0.699815440089485]	[-0.6510455710715312, 1.8459970847648168]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5974757568466427
18	[1.5070404507356916, 1.406008784016907]	[0.379190851855373, 0.5680255000178331]	[-0.26763741889376236, 0.06718250055659146]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.10022745916858557
19	[2.009852294088208, 1.4250772972370649]	[0.08056658585225066, 0.8356283721832777]	[-1.2356984416158374, 1.1546403882734098]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.040529026671213914
20	[1.8394225994468936, 1.8599847124487834]	[0.40864378221898995, 0.37637853403400556]	[1.0483081604695226, 0.879449929134264]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9638790448018933
21	[1.5418291261431647, 1.4015362879617719]	[0.343323116777704, 0.6017507890253897]	[-0.3221278959870335, 0.16321139974279636]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.07945824812211857
22	[1.8038300111639303, 1.6018527119108015]	[0.2703083568888924, 0.606359210406525]	[-0.04927115302239952, 1.2395911779408781]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5951600124592393
23	[1.9196462100989282, 1.4443294297952105]	[0.11877198606287447, 0.7951038163917147]	[-0.9924465991855931, 1.137893173309458]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.07272328706193228
24	[1.603245830610042, 2.0184827112995642]	[0.7171060923426948, 0.13622068765221151]	[1.8301121404406442, -0.7348590490094953]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.5476265457155743
25	[1.7498486885099347, 1.974383456143983]	[0.5633854195692826, 0.22948207117621858]	[1.741624831471212, 0.005908267779378976]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8737665496252955
26	[1.9684819532718711, 1.6461514804163018]	[0.1814264598221359, 0.6586368253536764]	[-0.4121581866341732, 1.7689051921397538]	1	1.9249809222505518	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6783735027527904
