	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	nash_utilities	monopoly_utilities	metric_history
0	[1.4947000959943968, 1.5779995005062473]	[0.5407963265928986, 0.38755009354994835]	[0.3893492957761627, 0.00940175227516958]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.19937552402566602
1	[1.4965078380155112, 1.4772039455349852]	[0.4517256800532953, 0.4879879256260551]	[0.01185959923564942, 0.08679097146608386]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.04932528535086664
2	[1.8984079242747411, 1.7755991648232852]	[0.3029937375390209, 0.4951927966469681]	[0.4301997228139075, 1.4065914382130325]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.91839558051347
3	[2.0599729436042287, 1.984684970414446]	[0.27605045553417495, 0.3730586148526529]	[0.6082144117300214, 1.2605949851185203]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9344046984242711
4	[1.7177400526760012, 1.9142873554921693]	[0.562138450751286, 0.25609768710307723]	[1.575913351730921, 0.09793859063342363]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8369259711821725
5	[1.4148675867134022, 1.430217461603913]	[0.4909845206591811, 0.46174514357166285]	[-0.1678811013487885, -0.21189796921753334]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.1898895352831608
6	[1.421075569950022, 1.4523411403180146]	[0.5047600798755743, 0.4454214646701714]	[-0.09064400584032217, -0.18718135115330936]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.13891267849681588
7	[2.0500489014243786, 1.7266650764019782]	[0.1704363212619833, 0.6213515623647069]	[-0.3837179661190225, 1.9952884030439022]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8057852184624397
8	[1.9250195650448534, 1.704780514256035]	[0.24072705434342756, 0.5809240005136269]	[-0.0021771705239570917, 1.62788993246019]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8128563809681166
9	[1.7611515167961616, 1.6412618186071173]	[0.3333308755727539, 0.538449875072288]	[0.26874668653438416, 1.0680571580574132]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.6684019222958985
10	[1.4766998291679896, 1.788270075610229]	[0.7087854473726468, 0.20382705852121855]	[1.0033818900226894, -0.5434167641280623]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.2299825629473137
11	[1.63177909017415, 1.4448715552337728]	[0.29928897493800377, 0.6320950116797495]	[-0.2953999771241813, 0.5086635668182113]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.106631794847015
12	[2.078525941713524, 1.421326842684175]	[0.06162905354200723, 0.8539988130145749]	[-1.3656855632830922, 1.1948448300094952]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.08542036663679868
13	[2.0507054193653222, 1.5422292005742175]	[0.10133015516277609, 0.7745551959568131]	[-1.0165385347407787, 1.7200877203015974]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3517745927804093
14	[1.419041040167397, 1.78685889580677]	[0.7532782569120497, 0.17297780095313126]	[0.8093991706244352, -0.7578095259492055]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.025794822337614848
15	[1.8126060617978714, 2.0425573518599727]	[0.5344267872311236, 0.21302075164441941]	[1.8448391884965352, -0.00733485890676489]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9187521647948851
16	[1.5017387642404347, 1.8743665904103715]	[0.7344639144077553, 0.16544346913812877]	[1.2707535663667067, -0.6831862976882791]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.2937836343392138
17	[1.4337283395933755, 1.4627400296637778]	[0.5014404819734943, 0.4464994462277473]	[-0.047464490564395764, -0.14239657826144778]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.09493053441292178
18	[1.9224319536575871, 2.0525362059409917]	[0.42964184519715665, 0.2553244104232449]	[1.5134685423954246, 0.3998778532923403]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9566731978438825
19	[1.5888480685652193, 1.5822793507888138]	[0.450509018606163, 0.4625029646829422]	[0.36970409186600706, 0.40483351804043755]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.3872688049532223
20	[2.061054009457215, 1.5741814223873798]	[0.10766939620139476, 0.7548776885677492]	[-0.9486732806546044, 1.8374921736045904]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.44440944647499303
21	[1.4006350635621454, 1.5154551575109185]	[0.5804885754310398, 0.3667167473899854]	[0.08412271003738934, -0.29591041321268113]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.10589385158764589
22	[1.4012170655128977, 1.6944662828460426]	[0.7139802973533166, 0.2209327812213383]	[0.5545767510928141, -0.606616514234856]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	-0.026019881571021048
23	[1.5925082527144838, 1.57814791385716]	[0.4434473385099389, 0.46966534513058145]	[0.34757530617990967, 0.424299645167154]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.38593747567353187
24	[1.457154080102174, 1.7531375373960132]	[0.7041796935410326, 0.21552992023845363]	[0.864077138219787, -0.528988973332504]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.1675440824436416
25	[2.036836226144065, 1.5556670567082107]	[0.11096702467648681, 0.7604495411562073]	[-0.9415891357469401, 1.7425233728970553]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.4004671185750577
26	[1.5171776789945968, 1.9925955575953034]	[0.7726303404914633, 0.11536825224456754]	[1.5420272982399104, -0.9463080472091457]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.29785962551538214
27	[1.8665684664775128, 1.7003958544176723]	[0.2832616827484262, 0.5506291825453223]	[0.1967373821675506, 1.4204464018007348]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8085918919841429
28	[1.9209208205677584, 2.023543529983437]	[0.4180334328616855, 0.2772918535904301]	[1.4144872352620528, 0.5315258651187873]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9730065501904203
29	[1.7361244564117215, 1.9736966161749077]	[0.5764861573230596, 0.22288650345573613]	[1.7583119630728177, -0.051524354565735786]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.853393804253541
30	[1.573853908252697, 2.0439868193914976]	[0.7494246538962183, 0.11429400725296075]	[1.80801970161575, -0.9043452067313605]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.4518372474421949
31	[1.8076484744156827, 2.0510724100622735]	[0.5431910890823268, 0.2051549257409459]	[1.8834989356638998, -0.06366738733489923]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9099157741645004
32	[1.7107417130278508, 1.77063903996987]	[0.47588033400014346, 0.3744944996617626]	[1.0064378475400235, 0.5732475874735475]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7898427175067857
33	[1.985927417207327, 1.6336863664874326]	[0.16564574561146733, 0.6777751856033266]	[-0.5203386947710302, 1.8031021629035382]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.641381734066254
34	[1.7624234118662987, 2.064304649805312]	[0.5932750580026886, 0.17735141880023847]	[2.00237889203822, -0.2982680437239217]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8520554241571494
35	[1.4774390830623396, 2.030880360486323]	[0.8110659298131091, 0.08864008975546898]	[1.4342044742818973, -1.1482626532033815]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.14297091053925792
36	[1.9661784455551874, 2.0115164884040984]	[0.36932976043219745, 0.3080732974135692]	[1.1688840140679975, 0.77419359644278]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.971538805255389
37	[1.9500603707562723, 1.910764118441269]	[0.33454431903625026, 0.3914878080979685]	[0.8284522700853149, 1.1663927785285066]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.997422524306911
38	[2.0188866417023377, 2.051372229510121]	[0.3382241102118134, 0.29701016758113835]	[1.0621624659798976, 0.7798412976281266]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9210018818040119
39	[2.058469878077865, 1.767802959165507]	[0.18308490996335644, 0.5855887256132216]	[-0.25432813712975283, 1.9787236228333014]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8621977428517744
40	[1.8190182679722606, 1.71168215900091]	[0.3310058496018378, 0.5085077639037814]	[0.42049214340262264, 1.2130292805060017]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.8167607119543121
41	[2.0456087037837523, 1.4821087096793195]	[0.08528131145345026, 0.8123695235621897]	[-1.167522193868808, 1.4727493634563715]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.15261358479378173
42	[1.797672058227561, 1.9701186254573193]	[0.5136508833451542, 0.257690061430606]	[1.630517651722625, 0.2362287937524713]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.9333732227375479
43	[2.0257835290029083, 1.9617323355227092]	[0.2940607931904341, 0.3799316239069474]	[0.6870936413434316, 1.2435504811917348]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.965322061267583
44	[2.036131848714035, 1.8374151238490244]	[0.22885182451032168, 0.5067114143376308]	[0.12389606529705346, 1.7579823878035787]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.940939226550316
45	[2.0400173835183804, 1.6806708998500879]	[0.15665952946777095, 0.6594860259533281]	[-0.52370841717516, 1.972405661497559]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7243486221611996
46	[1.5166610660863737, 1.8100112489380844]	[0.6877696423766824, 0.21273626974543428]	[1.155837509096301, -0.4417441522555182]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.35704667842039145
47	[1.9637999665146186, 1.6616878715101437]	[0.1918104402499838, 0.642236087730456]	[-0.3322145766277337, 1.7634992099322473]	1	1.9249809167141596	1.4729266600306228	0.22292666003062275	0.3374904595088809	0.7156423166522571
